entity_a,entity_b,transaction_count
FORETHOUGHT LIFE INSURANCE COMPANY,PARK PLACE FINANCE LLC(+),1
GUARANTY BANK & TRUST,PARK PLACE FINANCE LLC,1
PARK PLACE FINANCE LLC,TWO AUSTIN ORIGINALS LLC,1
PARK PLACE FINANCE LLC(+),TWO AUSTIN ORIGINALS LLC,1
PARK PLACE FINANCE LLC,STUBBS RESIDENTAL LLC,1
PARK PLACE FINANCE LLC,SUTBBS RESIDENTIAL LLC,1
PARK PLACE FINANCE LLC,STUBBS RESIDENTIAL LLC,1
6106 GLEN MEADOW LLC,PARK PLACE FINANCE LLC,1
6106 GLEN MEADOW LLC,PARK PLACE FINANCE LLC(+),1
ACME FLIP REAL ESTATE LLC,PARK PLACE FINANCE LLC,1
EF MORTGAGE LLC,PARK PLACE FINANCE LLC,1
NALLE CUSTOM HOMES INC,PARK PLACE FINANCE LLC,1
LUANCO HOLDINGS LLC,PARK PLACE FINANCE LLC,1
INKA PROPERTIES LLC,PARK PLACE FINANCE LLC,1
PARK PLACE FINANCE LLC(+),WILDCANYON GOLF ESTATES OWNER LLC,1
MPPN LLC,PARK PLACE FINANCE LLC,1
6605 ARGENTIA LLC,PARK PLACE FINANCE LLC,1
BLUE ANCHOR INVESTMENTS LLC,PARK PLACE FINANCE LLC,1
PARK PLACE FINANCE LLC,TX RE OPPORTUNITY 0923 LLC,1
PARK PLACE FINANCE LLC,REYCAM RENOVATIONS INC,1
PARK PLACE FINANCE LLC,TEXAS CAPITOL LLC,1
NEW HORIZON REAL ESTATE DEVELOPMENT SERVICES LLC,PARK PLACE FINANCE LLC,1
ABCS REI LLC P TEXAS,PARK PLACE FINANCE LLC,1
ABCS REI LLC,PARK PLACE FINANCE LLC,1
1SHARPE OPPORTUNITY INTERMEDIATE TRUST,PARK PLACE FINANCE LLC,1
PALAZZA ALTO ESTATES LLC,PARK PLACE FINANCE LLC,1
PATCH OF LAND LENDING LLC(+),TOORAK CAPITAL PARTNERS LLC,1
PATCH OF LAND LENDING LLC,PATCH OF LAND LLC #201500001,1
PATCH OF LAND LENDING LLC,TEXAS PREMIUM PROPERTIES LLC,1
PATCH OF LAND LENDING LLC(+),TOORAK REPO SELLER 1 TRUST,1
IBG LLC,PATCH OF LAND LENDING LLC,1
FLATS ON SOUTH CONGRESS LLC,PATCH OF LAND LENDING LLC,1
KARUK INVESTMENTS CORPORATION,PATCH OF LAND LENDING LLC,1
HASHIM PROPERTIES LLC,PATCH OF LAND LENDING LLC,1
BRIGHTHOUSE LIFE INSURANCE COMPANY,RCN CAPITAL LLC(+),1
BRIDGE OVER TROUBLED WATER LLC,RCN CAPITAL LLC,1
NEW DOOR VENTURES LLC,RCN CAPITAL LLC,1
JRCS FAMILY LIMITED PARTNERSHIP,RCN CAPITAL LLC,1
CAMERON VILLAS LLC,RCN CAPITAL LLC,1
RCN CAPITAL LLC(+),TOORAK CAPITAL PARTNERS LLC,1
DEAM PROPERTIES LLC,RCN CAPITAL LLC,1
DFH WILDWOOD LLC,RCN CAPITAL LLC,1
CALCAP LENDING LLC(+),LYDIA CAPITAL AVENUE 6523 LLC,1
4908 LOTT HOLDINGS LLC,ANCHOR LOANS LP(+),1
ANCHOR LOANS LP,CHESSHER AVERY LLC,1
ANCHOR LOANS LP,GRAND MOJAVE 25 LLC,1
ANCHOR LOANS LP(+),ARK HOME 5 LLC,1
ANCHOR LOANS LP,ANCHOR MORTGAGE TRUST 2024-RTL1,1
A NEW HOPE INVESTMENTS LLC,ANCHOR LOANS LP(+),1
ANCHOR LOANS LP(+),ANCHOR MORTGAGE TRUST 2024-RTLI,1
ANCHOR LOANS LP,TROILO DEVELOPMENTS II LLC,1
ANCHOR LOANS LP,TROILO DEVELOPMENTS LLC,1
1621 GARDEN ST LLC,ANCHOR LOANS LP,1
4415 GILLIS DEL SUR LLC,ANCHOR LOANS LP,1
4413 GILLS DEL SUR LLC,ANCHOR LOANS LP,1
ANCHOR LOANS LP,OLA INVESTMENT HOMES LLC,1
ANCHOR LOANS LP,LM CAPITAL INVESTMENT LLC,1
5702 TURA LLC,ANCHOR LOANS LP(+),1
ANCHOR LOANS LP,HUBBSELEVATION LLC,1
ANCHOR LOANS LP,SOLID GROUND DEVELOPMENT & VENTURE CAPITALISTS LLC,1
ANCHOR LOANS LP(+),YJY AUSTIN INVESTMENTS LLC,1
ANCHOR LOANS LP(+),DROX VENTURES LLC,1
ANCHOR LOANS LP(+),PARK FUNDING I TRUST,1
ANCHOR LOANS LP(+),ARK HOME 12 LLC,1
ANCHOR LOANS LP,NOVO COMECO LLC,1
ANCHOR LOANS LP(+),ARK HOME 9 LLC,1
ANCHOR LOANS LP(+),ARK HOME 2 LLC,1
ANCHOR LOANS LP,PT ASSET MANAGEMENT LLC,1
ANCHOR LOANS LP,ARK HOME 13 LLC,1
ANCHOR LOANS LP,ARK HOMES 13 LLC,1
2411 E 9TH LLC,ANCHOR LOANS LP,1
ANCHOR LOANS LP,US BANK TRUST,1
ANCHOR LOANS LP,D'ETAT DEVELOPMENT LLC,1
ANCHOR LOANS LP,SECURITY STATE BANK & TRUST,1
ANCHOR LOANS LP,YJY AUSTIN INVESTMENTS LLC,1
ANCHOR LOANS LP,DROX VENTURES LLC,1
ANCHOR LOANS LP(+),DOORS DEVELOPMENT GOLD LLC,1
ANCHOR LOANS LP,ARK HOME 4 LLC,1
ANCHOR LOANS LP,ARK HOME 1 LLC,1
ANCHOR LOANS LP,ARK HOME I LLC,1
ANCHOR LOANS LP,ARK HOME 2 LLC,1
ANCHOR LOANS LP,TX FAMILY HOMES LLC,1
ANCHOR LOANS LP,M&M CLARK PROPERTIES LLC,1
ANCHOR LOANS LP,TP KC LLC,1
ANCHOR ASSETS II LP,ANCHOR LOANS LP,1
ANCHOR ASSETS V LLC,ANCHOR LOANS LP,1
ANCHOR LOANS LP,TITANIUM INVESTMENTS LLC,1
ANCHOR LOANS LP,SOMA CAPITAL PROPERTIES LLC,1
DOMINION FINANCIAL SERVICES LLC(+),XYTECH INVESTMENTS LLC,1
DOMINION FINANCIAL SERVICES LLC,MCCUTCHAN MANAGEMENT LLC,1
1711 ENFIELD LLC,DOMINION FINANCIAL SERVICES LLC,1
DOMINION FINANCIAL SERVICES LLC(+),EVERLASTING PROPERTIES LLC,1
3424 CLARKSBURG DRIVE LLC,DOMINION FINANCIAL SERVICES LLC,1
COLCAP HOLDINGS LLC,DOMINION FINANCIAL SERVICES LLC,1
DOMINION FINANCIAL SERVICES LLC,NUHORIZON REMODELING INC,1
DOMINION FINANCIAL SERVICES LLC,SUN WEST MORTGAGE COMPANY INC,1
DOMINION FINANCIAL SERVICES LLC,REVIVE ATX LLC,1
DOMINION FINANCIAL SERVICES LLC,SANTEK TRADING LLC,1
DOMINION FINANCIAL SERVICES LLC(+),J P MORGAN MORTGAGE TRUST,1
DOMINION FINANCIAL SERVICES LLC,XYTECH INVESTMENTS LLC,1
COMMUNITY LOAN SERVICING LLC,DOMINION FINANCIAL SERVICES LLC,1
10000 QUAIL HUTCH LLC,DOMINION FINANCIAL SERVICES LLC,1
DOMINION FINANCIAL SERVICES LLC,HAC HILL COUNTRY PROPERTY I LLC,1
DOMINION FINANCIAL SERVICES LLC,JAINSONS INVESTMENTS LLC,1
DOMINION FINANCIAL SERVICES LLC,LIVE OAK SPRINGS LLC,1
DOMINION FINANCIAL SERVICES LLC,SPUR INTEREST LTD,1
DOMINION FINANCIAL SERVICES LLC,SPURS INTERESTS LTD,1
DIMINION FINANCIAL SERVICES 4 LLC,DOMINION FINANCIAL SERVICES LLC,1
MERCHANTS FUNDING LLC,W BUILDERS LLC,1
EXCHANGE TITLEHOLDER LLC SERIES PARRIS 2025,MERCHANTS FUNDING LLC,1
MERCHANTS FUNDING LLC,SSMB PROPERTIES LLC,1
HILL COUNTRY HOME AND DESIGN LLC,MERCHANTS FUNDING LLC,1
ARC REACTOR HOLDINGS MARK I LLC,MERCHANTS FUNDING LLC,1
CREATORS IV LLC,MERCHANTS FUNDING LLC,1
HOUSEVANTAGE GROUP LLC,MERCHANTS FUNDING LLC,1
MERCHANTS FUNDING LLC,TRIDENT REAL ESTATE HOLDINGS LLC,1
MERCHANTS FUNDING LLC,SUNRISE RENTAL HOMES LLC,1
EXCLUSIVE HOMES AND INVESTMENTS LLC,MERCHANTS FUNDING LLC(+),1
MERCHANTS FUNDING LLC,NORMANDY CAPITAL TRUST,1
HOUSEMAX REALTY LLC,MERCHANTS FUNDING LLC,1
HQR INVESTMENTS LLC-SERES 11815 LOCHRIDGE,MERCHANTS FUNDING LLC,1
MERCHANTS FUNDING LLC,TOOPAK REPO SELLER I TRUST LLC,1
MERCHANTS FUNDING LLC,PHILLIP LOADHOLT LLC,1
MARILYN BABOCK REVOCABLE TRUST,MERCHANTS FUNDING LLC,1
MERCHANTS FUNDING LLC,VAN-CROW PROPERTIES LLC,1
MERCHANTS FUNDING LLC,RIGHT OPPORTUNITY 3 LLC,1
GRAYSON OUTFITTERS LLC,HOMEWARD PROPERTIES LLC,1
HOMEWARD PROPERTIES LLC,QUANTA FINANCE LLC,1
