Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
101681,CPF 811 BARTON LLC,% CORNERSTONE REAL ESTATE ADVISERS LLC 111 S WACKER DR STE 3100 CHICAGO IL 606064318,BARTON SPRINGS RD 78704,HQ Zip: 60606 (IL)
102625,2010 ASHBY TRUST,3225 MCLEOD DR STE 777 LAS VEGAS NV 891212257,ASHBY AVE AUSTIN 78704,Cluster: 60 entities at this mailing address
102984,HOLDEN HILLS LP,212 LAVACA ST STE 300 AUSTIN TX 787013955,LOST CREEK BLVD 78735,Cluster: 10 entities at this mailing address
103003,STRATUS PROPERTIES OPERATING COMPANY,212 LAVACA ST STE 300 AUSTIN TX 787013955,CARRANZO DR 78735,Cluster: 10 entities at this mailing address
103842,1210 BARTON SPRINGS LP,804 CONGRESS AVE STE 300 AUSTIN TX 787012630,BARTON SPRINGS RD 78704,Cluster: 13 entities at this mailing address
103952,511 BARTON BLVD LLC,814 LAVACA ST AUSTIN TX 787012316,BARTON BLVD 78704,Cluster: 15 entities at this mailing address
104324,2707 WTL LLC,701 S LAMAR BLVD STE C AUSTIN TX 787041547,WALSH TARLTON LN 78746,Cluster: 12 entities at this mailing address
104330,607 W 3RD ST LLC,609A WOOD ST AUSTIN TX 787035417,NUECES ST,Cluster: 27 entities at this mailing address
104410,SKYWAY VENTURE LP,1221 S MOPAC EXPY STE 200 AUSTIN TX 77046,S MOPAC EXPY SVRD NB 78746,Cluster: 26 entities at this mailing address
104559,JS TRUST,100 CONGRESS AVE STE 1100 AUSTIN TX 787014042,INTERVAIL DR AUSTIN 78746,Cluster: 10 entities at this mailing address
104858,STRATUS PROPERTIES INC,212 LAVACA ST STE 300 AUSTIN TX 787013955,BARTON CREEK BLVD 78735,Cluster: 10 entities at this mailing address
104859,STRATUS PROPERTIES INC,212 LAVACA ST STE 300 AUSTIN TX 787013955,BARTON CREEK BLVD 78735,Cluster: 10 entities at this mailing address
104860,STRATUS PROPERTIES INC,212 LAVACA ST STE 300 AUSTIN TX 787013955,BARTON CREEK BLVD 78735,Cluster: 10 entities at this mailing address
104861,STRATUS PROPERTIES INC,212 LAVACA ST STE 300 AUSTIN TX 787013955,BARTON CREEK BLVD 78735,Cluster: 10 entities at this mailing address
104862,STRATUS PROPERTIES INC,212 LAVACA ST STE 300 AUSTIN TX 787013955,BARTON CREEK BLVD 78735,Cluster: 10 entities at this mailing address
105348,2015 AUSTIN GILFILLAN LP,603 W 8TH ST AUSTIN TX 787012728,W 8 ST 78701,Cluster: 22 entities at this mailing address
105352,BCPF RIO OFFICE LLC,5508 PARKCREST DR STE 320 AUSTIN TX 787315049,RIO GRANDE ST 78701,Cluster: 14 entities at this mailing address
105353,FBK RIO GRANDE LLC,5508 PARKCREST DR STE 320 AUSTIN TX 787315049,RIO GRANDE ST 78701,Cluster: 14 entities at this mailing address
105383,506 WEST AVENUE LP,1221 S MOPAC EXPY STE 200 AUSTIN TX 787467625,WEST AVE 78701,Cluster: 10 entities at this mailing address
105390,506 WEST AVENUE LP,1221 S MOPAC EXPY STE 200 AUSTIN TX 787467625,W 6 ST 78701,Cluster: 10 entities at this mailing address
