property_id,property_address,owner,bucket_keyword,warehouse_score,signals,is_developer_likely,mailing_address
310914,3632 CONGRESS AVE 78704,3423 HOLDINGS LLC,,1,cluster:10,,PO BOX 40127 AUSTIN TX 787040003
310916,204 PICKLE RD 78704,3423 HOLDINGS LLC,,1,cluster:10,,PO BOX 40127 AUSTIN TX 787040003
303004,2206 THORNTON RD 78704,3423 INVESTMENTS LLC,,1,cluster:10,,PO BOX 40127 AUSTIN TX 787040003
303005,2210 THORNTON RD 78704,3423 INVESTMENTS LLC,,1,cluster:10,,PO BOX 40127 AUSTIN TX 787040003
368577,808 ED BLUESTEIN BLVD,3423 INVESTMENTS LLC,,1,cluster:10,,PO BOX 40127 AUSTIN TX 787040003
368578,830 ED BLUESTEIN BLVD,3423 INVESTMENTS LLC,,1,cluster:10,,PO BOX 40127 AUSTIN TX 787040003
201510,ABS 16 SUR 18 MCELROY P ACR 2.305,3423 INVESTMENTS LLC & MF AUSTIN RIDGE LLC,,1,cluster:17,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
201511,LOT 1 ALLEN JUNE & JOE ADDN,3423 INVESTMENTS LLC & MF AUSTIN RIDGE LLC,,1,cluster:17,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
212467,3504 KING ST 78705,3504 KING ST LLC,,1,cluster:10,,3600 BALCONES DR AUSTIN TX USA 787315804
107835,3509 BEE CAVE RD 78746,3509 BEE CAVES RD LLC,,1,cluster:26,,3267 BEE CAVES RD STE 107 PMB 92 AUSTIN TX 787466700
212552,3510 WEST AVE 78705,3510 WEST AVENUE LLC,,1,cluster:12,,5103 INDIGO ST HOUSTON TX 770961413
205465,3601 M L KING JR BLVD 78721,3601 E MLK BLVD LLC,,1,cluster:26,,3267 BEE CAVES RD STE 107 PMB 92 AUSTIN TX 787466700
511572,3601 WILLIAM CANNON DR 5 78745,3601 SOUTHCROSS LP,,1,cluster:13,,804 CONGRESS AVE STE 300 AUSTIN TX 787012630
511574,3601 WILLIAM CANNON DR 8 78745,3601 SOUTHCROSS LP,,1,cluster:13,,804 CONGRESS AVE STE 300 AUSTIN TX 787012630
207582,3710 AIRPORT BLVD 78722,3710 AIRPORT BLVD LLC,,1,cluster:26,,3267 BEE CAVES RD STE 107 PMB 92 AUSTIN TX 787466700
232850,8314 CROSS PARK DR 78754,3724 ACQUISITIONS LLC,,1,cluster:17,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
